position_noise,position_filtred
 -3690.75, -3701.28
 -3683.73, -3685.28
 -3691.86, -3685.28
 -3659.82, -3669.28
 -3712.72, -3669.28
 -3644.23, -3653.28
 -3645.28, -3653.28
 -3630.82, -3637.28
 -3668.88, -3637.28
 -3627.36, -3621.28
 -3606.90, -3621.28
 -3578.45, -3605.28
 -3623.61, -3605.28
 -3634.70, -3589.28
 -3555.31, -3589.28
 -3564.80, -3573.28
 -3581.16, -3573.28
 -3513.32, -3557.28
 -3586.88, -3557.28
 -3535.42, -3541.28
 -3531.30, -3541.28
 -3507.80, -3525.28
 -3523.52, -3525.28
 -3467.74, -3509.28
 -3480.37, -3509.28
 -3517.15, -3493.28
 -3488.46, -3493.28
 -3477.08, -3477.28
 -3480.72, -3477.28
 -3484.74, -3461.28
 -3446.64, -3461.28
 -3409.18, -3445.28
 -3447.90, -3445.28
 -3447.18, -3429.28
 -3420.03, -3429.28
 -3432.91, -3413.28
 -3397.14, -3413.28
 -3390.44, -3397.28
 -3407.02, -3397.28
 -3351.94, -3381.28
 -3371.51, -3381.28
 -3351.16, -3365.28
 -3374.63, -3365.28
 -3333.93, -3349.28
 -3360.18, -3349.28
 -3346.19, -3333.28
 -3378.24, -3333.28
 -3353.79, -3317.28
 -3322.45, -3317.28
 -3298.67, -3301.28
 -3273.92, -3301.28
 -3284.40, -3285.28
 -3310.97, -3285.28
 -3286.39, -3269.28
 -3238.93, -3269.28
 -3246.65, -3253.28
 -3231.86, -3253.28
 -3237.06, -3237.28
 -3291.70, -3237.28
 -3227.02, -3221.28
 -3212.63, -3221.28
 -3212.99, -3205.28
 -3212.36, -3205.28
 -3174.48, -3189.28
 -3166.71, -3189.28
 -3139.50, -3173.28
 -3173.08, -3173.28
 -3161.93, -3157.28
 -3171.66, -3157.28
 -3138.76, -3141.28
 -3185.66, -3141.28
 -3108.69, -3125.28
 -3097.60, -3125.28
 -3110.46, -3109.28
 -3127.76, -3109.28
 -3092.87, -3093.28
 -3105.38, -3093.28
 -3119.46, -3077.28
 -3085.66, -3077.28
 -3057.33, -3061.28
 -3043.53, -3061.28
 -3050.74, -3045.28
 -3041.49, -3045.28
 -3057.83, -3029.28
 -3051.25, -3029.28
 -3023.55, -3013.28
 -3044.53, -3013.28
 -2979.58, -2997.28
 -2994.83, -2997.28
 -2961.01, -2981.28
 -2961.39, -2981.28
 -2982.92, -2965.28
 -2957.29, -2965.28
 -2960.30, -2949.28
 -2931.70, -2949.28
 -2944.16, -2933.28
 -2923.81, -2933.28
 -2941.11, -2917.28
 -2925.84, -2917.28
 -2888.07, -2901.28
 -2887.84, -2901.28
 -2870.66, -2885.28
 -2874.15, -2885.28
 -2845.67, -2869.28
 -2880.42, -2869.28
 -2858.34, -2853.28
 -2826.52, -2853.28
 -2841.56, -2837.28
 -2826.19, -2837.28
 -2851.04, -2821.28
 -2810.28, -2821.28
 -2805.23, -2805.28
 -2800.28, -2805.28
 -2796.75, -2789.28
 -2797.77, -2789.28
 -2796.49, -2773.28
 -2777.64, -2773.28
 -2786.90, -2757.28
 -2768.02, -2757.28
 -2791.76, -2741.28
 -2736.01, -2741.28
 -2741.14, -2725.28
 -2708.41, -2725.28
 -2706.21, -2709.28
 -2766.65, -2709.28
 -2669.58, -2693.28
 -2705.73, -2693.28
 -2696.44, -2677.28
 -2693.32, -2677.28
 -2662.18, -2661.28
 -2653.59, -2661.28
 -2621.49, -2645.28
 -2659.62, -2645.28
 -2604.94, -2629.28
 -2635.80, -2629.28
 -2626.94, -2613.28
 -2623.32, -2613.28
 -2601.16, -2597.28
 -2592.60, -2597.28
 -2608.96, -2581.28
 -2595.50, -2581.28
 -2577.24, -2565.28
 -2572.00, -2565.28
 -2564.84, -2549.28
 -2558.46, -2549.28
 -2569.90, -2533.28
 -2551.69, -2533.28
 -2533.85, -2517.28
 -2481.65, -2517.28
 -2497.30, -2501.28
 -2492.61, -2501.28
 -2497.30, -2485.28
 -2460.39, -2485.28
 -2460.33, -2469.28
 -2436.33, -2469.28
 -2455.76, -2453.28
 -2456.04, -2453.28
 -2439.76, -2437.28
 -2420.82, -2437.28
 -2409.85, -2421.28
 -2423.97, -2421.28
 -2399.72, -2405.28
 -2408.70, -2405.28
 -2409.15, -2389.28
 -2415.04, -2389.28
 -2376.14, -2373.28
 -2360.24, -2373.28
 -2303.29, -2357.28
 -2338.89, -2357.28
 -2381.66, -2341.28
 -2392.66, -2341.28
 -2307.26, -2325.28
 -2297.20, -2325.28
 -2327.14, -2309.28
 -2312.16, -2309.28
 -2268.58, -2293.28
 -2271.68, -2293.28
 -2278.86, -2277.28
 -2269.53, -2277.28
 -2237.98, -2261.28
 -2229.09, -2261.28
 -2228.37, -2245.28
 -2214.94, -2245.28
 -2240.23, -2229.28
 -2244.98, -2229.28
 -2226.42, -2213.28
 -2206.68, -2213.28
 -2208.75, -2197.28
 -2180.02, -2197.28
 -2214.56, -2181.28
 -2182.65, -2181.28
 -2147.18, -2165.28
 -2146.72, -2165.28
 -2153.78, -2149.28
 -2165.73, -2149.28
 -2126.64, -2133.28
 -2150.72, -2133.28
 -2096.88, -2117.28
 -2153.04, -2117.28
 -2099.73, -2101.28
 -2123.84, -2101.28
 -2075.40, -2085.28
 -2033.04, -2085.28
 -2094.31, -2069.28
 -2082.82, -2069.28
 -2086.35, -2053.28
 -2036.67, -2053.28
 -2046.55, -2037.28
 -2043.05, -2037.28
 -2012.80, -2021.28
 -2019.35, -2021.28
 -1968.08, -2005.28
 -1993.12, -2005.28
 -1950.14, -1989.28
 -2000.56, -1989.28
 -1973.65, -1973.28
 -1956.65, -1973.28
 -1947.82, -1957.28
 -1970.72, -1957.28
 -1954.54, -1941.28
 -1945.28, -1941.28
 -1932.36, -1925.28
 -1934.67, -1925.28
 -1936.99, -1909.28
 -1905.82, -1909.28
 -1906.89, -1893.28
 -1930.34, -1893.28
 -1891.78, -1877.28
 -1850.93, -1877.28
 -1851.52, -1861.28
 -1853.78, -1861.28
 -1872.93, -1845.28
 -1856.73, -1845.28
 -1818.62, -1829.28
 -1818.41, -1829.28
 -1803.53, -1813.28
 -1801.85, -1813.28
 -1786.73, -1797.28
 -1786.85, -1797.28
 -1777.46, -1781.28
 -1786.57, -1781.28
 -1787.40, -1765.28
 -1759.85, -1765.28
 -1733.99, -1749.28
 -1725.79, -1749.28
 -1719.81, -1733.28
 -1750.96, -1733.28
 -1751.06, -1717.28
 -1692.49, -1717.28
 -1673.56, -1701.28
 -1701.54, -1701.28
 -1702.83, -1685.28
 -1702.74, -1685.28
 -1676.42, -1669.28
 -1650.32, -1669.28
 -1617.05, -1653.28
 -1673.21, -1653.28
 -1622.22, -1637.28
 -1661.30, -1637.28
 -1641.12, -1621.28
 -1612.53, -1621.28
 -1589.36, -1605.28
 -1557.06, -1605.28
 -1605.27, -1589.28
 -1585.36, -1589.28
 -1549.07, -1573.28
 -1571.65, -1573.28
 -1532.05, -1557.28
 -1567.66, -1557.28
 -1551.58, -1541.28
 -1548.88, -1541.28
 -1526.08, -1525.28
 -1543.26, -1525.28
 -1488.24, -1509.28
 -1543.91, -1509.28
 -1509.74, -1493.28
 -1488.83, -1493.28
 -1462.39, -1477.28
 -1456.59, -1477.28
 -1459.64, -1461.28
 -1431.38, -1461.28
 -1460.05, -1445.28
 -1484.58, -1445.28
 -1442.70, -1429.28
 -1409.69, -1429.28
 -1395.06, -1413.28
 -1413.81, -1413.28
 -1412.04, -1397.28
 -1400.36, -1397.28
 -1378.14, -1381.28
 -1390.25, -1381.28
 -1350.44, -1365.28
 -1358.01, -1365.28
 -1313.26, -1349.28
 -1326.71, -1349.28
 -1351.22, -1333.28
 -1362.82, -1333.28
 -1296.20, -1317.28
 -1310.30, -1317.28
 -1302.25, -1301.28
 -1284.72, -1301.28
 -1271.06, -1285.28
 -1239.87, -1285.28
 -1282.08, -1269.28
 -1235.49, -1269.28
 -1248.10, -1253.28
 -1221.53, -1253.28
 -1232.87, -1237.28
 -1245.37, -1237.28
 -1221.07, -1221.28
 -1235.31, -1221.28
 -1188.02, -1205.28
 -1234.34, -1205.28
 -1196.30, -1189.28
 -1171.84, -1189.28
 -1172.69, -1173.28
 -1156.41, -1173.28
 -1156.37, -1157.28
 -1151.97, -1157.28
 -1158.67, -1141.28
 -1137.92, -1141.28
 -1121.08, -1125.28
 -1133.38, -1125.28
 -1114.85, -1109.28
 -1122.10, -1109.28
 -1114.83, -1093.28
 -1128.33, -1093.28
 -1076.09, -1077.28
 -1046.32, -1077.28
 -1063.37, -1061.28
 -1051.79, -1061.28
 -1057.72, -1045.28
 -1023.30, -1045.28
  -993.83, -1029.28
