position_noise,position_filtred,real_position,pos1,pos2,pos3
 -5002.73, -4981.28, -4997.47, -5002.73, -4999.42, -4977.80
 -4938.03, -4965.28, -4969.83, -4938.03, -5002.73, -4999.42
 -4978.88, -4965.28, -4969.24, -4978.88, -4938.03, -5002.73
 -4961.68, -4949.28, -4963.47, -4961.68, -4978.88, -4938.03
 -4943.06, -4949.28, -4955.24, -4943.06, -4961.68, -4978.88
 -4920.10, -4933.28, -4934.68, -4920.10, -4943.06, -4961.68
 -4930.89, -4933.28, -4929.32, -4930.89, -4920.10, -4943.06
 -4898.45, -4917.28, -4912.87, -4898.45, -4930.89, -4920.10
 -4931.29, -4917.28, -4920.27, -4931.29, -4898.45, -4930.89
 -4901.75, -4901.28, -4911.04, -4901.75, -4931.29, -4898.45
 -4916.76, -4901.28, -4914.18, -4916.76, -4901.75, -4931.29
 -4923.68, -4885.28, -4917.72, -4923.68, -4916.76, -4901.75
 -4905.52, -4885.28, -4913.45, -4905.52, -4923.68, -4916.76
 -4896.81, -4869.28, -4904.19, -4896.81, -4905.52, -4923.68
 -4896.51, -4869.28, -4898.11, -4896.51, -4896.81, -4905.52
 -4869.95, -4853.28, -4883.28, -4869.95, -4896.51, -4896.81
 -4822.66, -4853.28, -4850.73, -4822.66, -4869.95, -4896.51
 -4830.72, -4837.28, -4834.57, -4830.72, -4822.66, -4869.95
 -4803.08, -4837.28, -4815.56, -4803.08, -4830.72, -4822.66
 -4815.03, -4821.28, -4813.66, -4815.03, -4803.08, -4830.72
 -4833.19, -4821.28, -4822.12, -4833.19, -4815.03, -4803.08
 -4811.90, -4805.28, -4819.52, -4811.90, -4833.19, -4815.03
 -4782.08, -4805.28, -4800.54, -4782.08, -4811.90, -4833.19
 -4805.53, -4789.28, -4798.78, -4805.53, -4782.08, -4811.90
 -4809.41, -4789.28, -4803.56, -4809.41, -4805.53, -4782.08
 -4752.13, -4773.28, -4780.12, -4752.13, -4809.41, -4805.53
 -4786.59, -4773.28, -4778.91, -4786.59, -4752.13, -4809.41
 -4776.89, -4757.28, -4776.00, -4776.89, -4786.59, -4752.13
 -4764.01, -4757.28, -4772.07, -4764.01, -4776.89, -4786.59
 -4726.94, -4741.28, -4747.62, -4726.94, -4764.01, -4776.89
 -4767.85, -4741.28, -4753.57, -4767.85, -4726.94, -4764.01
 -4720.18, -4725.28, -4737.20, -4720.18, -4767.85, -4726.94
 -4765.79, -4725.28, -4750.93, -4765.79, -4720.18, -4767.85
 -4673.33, -4709.28, -4711.96, -4673.33, -4765.79, -4720.18
 -4702.68, -4709.28, -4703.41, -4702.68, -4673.33, -4765.79
 -4709.88, -4693.28, -4701.39, -4709.88, -4702.68, -4673.33
 -4719.82, -4693.28, -4713.65, -4719.82, -4709.88, -4702.68
 -4656.33, -4677.28, -4686.42, -4656.33, -4719.82, -4709.88
 -4713.64, -4677.28, -4695.56, -4713.64, -4656.33, -4719.82
 -4694.59, -4661.28, -4694.56, -4694.59, -4713.64, -4656.33
 -4672.99, -4661.28, -4686.96, -4672.99, -4694.59, -4713.64
 -4643.59, -4645.28, -4661.89, -4643.59, -4672.99, -4694.59
 -4641.08, -4645.28, -4647.23, -4641.08, -4643.59, -4672.99
 -4649.73, -4629.28, -4645.82, -4649.73, -4641.08, -4643.59
 -4637.80, -4629.28, -4642.32, -4637.80, -4649.73, -4641.08
